feature,importance
origin_balance_error,0.2221783455920414
origin_balance_error_abs,0.2060156157897955
amount_to_origin_balance,0.11025085746357326
origin_balance_change,0.10649921309074588
newbalanceOrig,0.06241646183255166
oldbalanceOrg,0.05456171064543033
origin_zero_balance_after,0.05241106814979157
type_PAYMENT,0.03755872031674762
log_amount,0.03173924442540302
amount,0.022945467829739656
is_transfer,0.017096926483618886
type_TRANSFER,0.011109411534387294
destination_balance_error,0.009926404095294768
origin_zero_balance_before,0.007782842740972772
type_CASH_OUT,0.007733574619519567
destination_balance_change,0.007229837175023639
is_cash_out,0.005552484441083721
destination_zero_balance_after,0.0053998017431729425
newbalanceDest,0.005100062297379681
oldbalanceDest,0.004333854735032506
destination_balance_error_abs,0.0039872444555692655
step,0.0031056521624519195
amount_to_destination_balance,0.002011312914154946
destination_zero_balance_before,0.001330979970224246
isFlaggedFraud,0.0008364797417013724
type_CASH_IN,0.0007888012405514238
type_DEBIT,9.762451404118437e-05
