threshold,accuracy,precision,recall,f1_score,roc_auc
0.1,0.9999740672867466,0.9826139088729017,0.9975654290931223,0.9900332225913622,0.9990865026391612
0.15,0.9999803540051111,0.9873493975903614,0.9975654290931223,0.992431123221314,0.9990865026391612
0.2,0.9999850690438844,0.9909310761789601,0.9975654290931223,0.9942371853199878,0.9990865026391612
0.25,0.9999874265632711,0.9927316777710479,0.9975654290931223,0.9951426836672739,0.9990865026391612
0.3,0.9999905699224533,0.9951426836672739,0.9975654290931223,0.9963525835866262,0.9990865026391612
0.35,0.9999937132816356,0.9975654290931223,0.9975654290931223,0.9975654290931223,0.9990865026391612
0.4,0.9999944991214311,0.9981729598051157,0.9975654290931223,0.997869101978691,0.9990865026391612
0.45,0.9999944991214311,0.9981729598051157,0.9975654290931223,0.997869101978691,0.9990865026391612
0.5,0.9999952849612267,0.9987812309567337,0.9975654290931223,0.9981729598051157,0.9990865026391612
0.55,0.9999952849612267,0.9987812309567337,0.9975654290931223,0.9981729598051157,0.9990865026391612
0.6,0.9999968566408177,1.0,0.9975654290931223,0.9987812309567337,0.9990865026391612
0.65,0.9999968566408177,1.0,0.9975654290931223,0.9987812309567337,0.9990865026391612
0.7,0.9999968566408177,1.0,0.9975654290931223,0.9987812309567337,0.9990865026391612
0.75,0.9999968566408177,1.0,0.9975654290931223,0.9987812309567337,0.9990865026391612
0.8,0.9999968566408177,1.0,0.9975654290931223,0.9987812309567337,0.9990865026391612
0.85,0.9999968566408177,1.0,0.9975654290931223,0.9987812309567337,0.9990865026391612
0.9,0.9999968566408177,1.0,0.9975654290931223,0.9987812309567337,0.9990865026391612
0.95,0.9999960708010223,1.0,0.996956786366403,0.9984760743675709,0.9990865026391612
